"date_time","temp","hr","QI","lobster_id","temperature","date2"
"12/9/18 3:51",50,33,0,"IV11","11",2018-12-09 03:51:00
"12/9/18 3:54",42,36,0,"IV11","11",2018-12-09 03:54:00
"12/9/18 3:57",40,0,3,"IV11","11",2018-12-09 03:57:00
"12/9/18 4:00",40,0,3,"IV11","11",2018-12-09 04:00:00
"12/9/18 4:03",40,0,2,"IV11","11",2018-12-09 04:03:00
"12/9/18 4:06",40,1,3,"IV11","11",2018-12-09 04:06:00
"12/9/18 4:09",42,44,0,"IV11","11",2018-12-09 04:09:00
"12/9/18 4:12",47,43,0,"IV11","11",2018-12-09 04:12:00
"12/9/18 4:15",50,42,0,"IV11","11",2018-12-09 04:15:00
"12/9/18 4:18",50,40,0,"IV11","11",2018-12-09 04:18:00
"12/9/18 4:21",50,40,0,"IV11","11",2018-12-09 04:21:00
"12/9/18 4:24",42,41,0,"IV11","11",2018-12-09 04:24:00
"12/9/18 4:27",40,42,0,"IV11","11",2018-12-09 04:27:00
"12/9/18 4:30",40,37,0,"IV11","11",2018-12-09 04:30:00
"12/9/18 4:33",40,38,0,"IV11","11",2018-12-09 04:33:00
"12/9/18 4:36",40,37,0,"IV11","11",2018-12-09 04:36:00
"12/9/18 4:39",40,36,0,"IV11","11",2018-12-09 04:39:00
"12/9/18 4:42",40,35,0,"IV11","11",2018-12-09 04:42:00
"12/9/18 4:45",40,36,0,"IV11","11",2018-12-09 04:45:00
"12/9/18 4:48",40,36,0,"IV11","11",2018-12-09 04:48:00
"12/9/18 4:51",40,37,0,"IV11","11",2018-12-09 04:51:00
"12/9/18 4:54",47,38,0,"IV11","11",2018-12-09 04:54:00
"12/9/18 4:57",40,38,0,"IV11","11",2018-12-09 04:57:00
"12/9/18 5:00",40,38,0,"IV11","11",2018-12-09 05:00:00
"12/9/18 5:03",40,41,0,"IV11","11",2018-12-09 05:03:00
"12/9/18 5:06",40,40,0,"IV11","11",2018-12-09 05:06:00
"12/9/18 5:09",40,38,0,"IV11","11",2018-12-09 05:09:00
"12/9/18 5:12",40,35,0,"IV11","11",2018-12-09 05:12:00
"12/9/18 5:15",40,33,0,"IV11","11",2018-12-09 05:15:00
"12/9/18 5:18",40,34,0,"IV11","11",2018-12-09 05:18:00
"12/9/18 5:21",40,45,0,"IV11","11",2018-12-09 05:21:00
"12/9/18 5:24",40,43,0,"IV11","11",2018-12-09 05:24:00
"12/9/18 5:27",40,45,0,"IV11","11",2018-12-09 05:27:00
"12/9/18 5:30",40,40,0,"IV11","11",2018-12-09 05:30:00
"12/9/18 5:33",40,38,0,"IV11","11",2018-12-09 05:33:00
"12/9/18 5:36",40,35,0,"IV11","11",2018-12-09 05:36:00
"12/9/18 5:39",40,35,0,"IV11","11",2018-12-09 05:39:00
"12/9/18 5:42",40,33,0,"IV11","11",2018-12-09 05:42:00
"12/9/18 5:45",40,36,0,"IV11","11",2018-12-09 05:45:00
"12/9/18 5:48",40,33,0,"IV11","11",2018-12-09 05:48:00
"12/9/18 5:51",40,34,0,"IV11","11",2018-12-09 05:51:00
"12/9/18 5:54",40,39,0,"IV11","11",2018-12-09 05:54:00
"12/9/18 5:57",40,39,0,"IV11","11",2018-12-09 05:57:00
"12/9/18 6:00",40,38,0,"IV11","11",2018-12-09 06:00:00
"12/9/18 6:03",40,39,0,"IV11","11",2018-12-09 06:03:00
"12/9/18 6:06",40,37,0,"IV11","11",2018-12-09 06:06:00
"12/9/18 6:09",40,0,2,"IV11","11",2018-12-09 06:09:00
"12/9/18 6:12",40,1,3,"IV11","11",2018-12-09 06:12:00
